driverId,week,hours-logged,miles-logged
79,8,69,800
50,9,61,2900
37,7,58,1700
68,25,67,500
105,43,58,3700
46,39,58,1500
66,24,72,1400
89,14,72,1500
17,11,55,3300
37,19,75,3000
71,41,58,200
10,49,71,1500
61,38,74,1500
14,26,79,1600
19,26,60,2500
93,24,64,1000
30,50,52,2700
93,23,51,1000
22,14,59,900
54,39,61,3800
67,32,73,100
19,40,59,1900
53,27,52,0
47,22,58,700
98,21,78,1300
38,13,63,2300
22,18,55,3800
59,28,66,1400
105,30,61,100
71,13,72,3800
50,15,71,1800
24,1,64,2000
16,33,67,1600
72,26,73,2100
10,47,67,100
70,42,75,3400
88,15,61,500
25,20,68,3500
13,40,68,1200
59,38,64,100
16,44,55,2300
30,34,77,1500
106,43,58,2600
81,45,56,1500
74,49,72,800
106,17,69,3600
53,37,80,3500
106,51,77,2400
56,44,54,1000
31,41,52,1800
30,39,59,2200
16,16,65,3500
30,46,68,1500
73,49,56,0
67,50,52,2000
92,7,53,3600
43,26,52,3100
59,17,52,2800
89,49,57,2300
57,17,59,1300
104,5,54,2500
22,4,79,3200
109,33,54,2500
77,29,61,2000
26,14,62,3700
52,23,76,2200
60,10,53,2900
57,25,71,2500
87,38,62,700
40,1,74,700
91,37,55,2700
36,50,53,2700
15,35,62,2500
77,8,60,1500
22,52,69,1200
35,16,63,1400
52,15,50,2900
103,16,64,3500
59,20,60,2200
90,42,50,500
96,15,66,3500
24,6,65,400
58,9,73,200
40,46,53,1500
35,20,77,0
34,12,69,800
102,29,50,1800
63,22,71,1300
19,10,79,1400
107,40,78,2600
100,34,70,400
15,35,51,1400
107,36,69,3800
58,19,75,1200
37,30,80,3600
40,14,77,300
87,45,56,2800
104,8,78,3500
52,31,80,200
29,42,80,3000
104,39,68,4000
93,31,55,1200
98,41,73,2900
94,3,77,2500
85,35,79,2300
86,36,73,800
22,4,75,1300
48,41,71,2100
59,37,70,200
76,48,56,500
73,47,79,1300
90,51,74,400
53,25,51,300
31,48,68,3800
51,38,55,2000
21,34,74,3700
77,1,67,500
75,16,72,700
59,44,70,800
45,22,71,3600
84,10,77,1700
103,26,58,800
73,51,65,2100
22,50,56,4000
24,8,68,4000
76,21,75,3400
103,12,72,1300
82,11,69,2000
37,12,59,400
13,11,55,3100
93,22,73,1700
107,23,50,300
96,28,67,1400
101,1,61,2300
52,43,57,3700
15,36,66,3800
44,30,77,1800
43,7,69,3100
73,11,74,2400
109,46,63,3400
27,43,79,3000
20,14,61,1000
108,27,65,2100
50,9,67,3600
38,25,79,3400
14,10,69,1800
33,32,51,2300
54,49,53,100
24,9,62,3500
73,38,71,200
21,35,73,1400
91,49,52,3000
95,28,80,3900
97,8,58,2400
16,22,50,3900
106,47,63,1900
78,37,80,2200
101,22,60,200
71,8,71,0
106,13,79,3900
58,45,57,1800
11,35,79,2500
34,21,74,3800
55,21,71,2800
68,51,68,300
75,27,54,300
41,24,65,3800
88,39,59,500
90,34,54,2500
38,28,63,1600
96,16,64,2200
55,29,78,3000
65,13,72,3200
54,1,67,3700
18,10,72,900
102,25,63,600
96,38,76,800
81,19,69,1100
65,47,75,400
32,16,65,3000
108,16,79,1100
39,30,62,3600
28,47,77,900
35,1,78,1900
41,26,60,1300
14,40,79,1800
58,6,56,1100
108,21,76,3100
55,21,62,900
65,50,59,300
17,24,63,1300
107,46,60,4000
14,46,76,100
49,26,79,700
11,19,78,3500
77,21,61,3100
74,8,64,2700
24,50,77,3800
31,34,77,2400
56,38,62,800
25,42,57,2400
84,14,50,1400
72,18,68,1200
54,39,76,1000
64,11,56,1000
65,8,54,1700
85,14,63,2200
14,27,74,300
21,4,51,2900
63,6,66,3200
103,48,70,1900
50,42,79,1500
64,27,55,1600
30,12,73,3900
78,27,72,4000
28,40,50,700
68,19,68,2200
87,36,59,200
67,44,65,2400
47,33,56,3400
32,37,69,2100
64,16,63,500
45,46,61,3500
18,34,53,0
20,30,57,100
89,5,54,2300
15,19,72,900
18,6,73,2300
75,32,69,3700
23,47,67,400
60,39,69,1000
72,2,66,2400
69,9,63,3000
65,52,61,0
49,38,73,1300
39,34,59,900
64,22,75,1100
17,33,55,200
76,39,75,3000
75,2,51,3400
19,11,56,3100
20,36,70,2800
102,26,75,1100
63,11,63,2000
106,24,69,4000
104,43,74,2700
109,50,53,2200
79,3,61,900
10,7,65,1600
86,18,80,3500
58,31,71,1300
95,31,78,400
11,14,55,0
12,30,74,100
96,41,76,500
32,20,53,700
21,21,51,2800
63,24,75,3400
20,10,80,1800
77,22,79,200
70,41,74,1400
15,22,53,2500
49,46,69,600
97,7,71,2600
106,21,50,1100
10,31,77,1000
52,42,55,1400
41,6,51,3300
45,37,58,0
30,42,58,1400
12,23,72,700
80,5,77,100
35,32,64,2800
99,3,59,300
45,43,64,2200
77,28,53,1600
82,45,69,800
36,51,65,300
64,40,60,2500
100,16,77,200
107,8,73,1000
94,52,72,3900
58,26,71,3800
45,25,59,1600
29,38,65,3800
69,12,50,3100
83,38,76,3000
70,27,74,1200
12,51,73,0
60,13,69,3300
92,21,73,1800
24,2,60,100
39,31,79,500
62,1,77,400
94,26,79,3200
26,28,68,1700
49,36,58,200
48,27,66,300
28,48,51,2600
28,33,52,400
50,5,60,1200
54,41,80,300
103,1,74,200
28,46,79,2200
77,23,68,800
65,5,64,1700
99,48,63,300
44,51,66,2700
91,34,69,3500
20,9,80,2200
50,51,53,3700
